subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat_manual,p_value_manual,f_stat_statsmodels,p_value_statsmodels
sub-001,A,Fp2,P4,2,40,80,2.36348398641681,1.096490893901672e-05,2.3634839801178518,1.0964909650166436e-05
sub-001,A,Fp2,P4,2,50,100,1.9444919885605723,0.00022370378393180273,1.9444919897528732,0.000223703781014214
sub-001,A,Fp2,P4,3,5,10,25.135731060339516,6.519893045299156e-23,25.13573106026508,6.519893046268125e-23
sub-001,A,Fp2,P4,3,10,20,8.790890489312313,1.8707743809894882e-13,8.790890489475371,1.8707743797893677e-13
sub-001,A,Fp2,P4,3,20,40,5.0927901349824864,1.0702104668128157e-11,5.092790134771268,1.0702104683851649e-11
sub-001,A,Fp2,P4,3,30,60,3.2668386718954596,3.135966298654984e-08,3.266838671091962,3.135966321620932e-08
sub-001,A,Fp2,P4,3,40,80,2.6652201492240577,4.5408690540488176e-07,2.6652201493331122,4.5408690487106603e-07
sub-001,A,Fp2,P4,3,50,100,2.1052832559352272,3.682078419061065e-05,2.1052832556029486,3.682078433111811e-05
sub-001,A,Fp2,P4,4,5,10,8.1698986603686,1.845104969383225e-07,8.169898660294027,1.845104969681664e-07
sub-001,A,Fp2,P4,4,10,20,3.3694394804463377,0.00027820411351526267,3.3694394810714865,0.00027820411287658367
sub-001,A,Fp2,P4,4,20,40,2.585742387493564,0.00020823513269671419,2.5857423875512424,0.0002082351326231977
sub-001,A,Fp2,P4,4,30,60,2.079767028393379,0.000807046735275489,2.0797670279198,0.0008070467382191805
sub-001,A,Fp2,P4,4,40,80,1.975095271070161,0.0005047589555980564,1.9750952698485966,0.0005047589613624422
sub-001,A,Fp2,P4,4,50,100,1.828864813712956,0.00077170583303705,1.8288648134941925,0.0007717058348042344
sub-002,A,P3,Fp1,0,5,10,54.35144846274117,4.438554675578152e-46,54.351448462785875,4.438554675246752e-46
sub-002,A,P3,Fp1,0,10,20,5.17267778347172,2.893280147937683e-07,5.1726777852179975,2.893280128241513e-07
sub-002,A,P3,Fp1,0,20,40,7.027323966120582,1.5204189728193155e-17,7.027323966647746,1.5204189672686067e-17
sub-002,A,P3,Fp1,0,30,60,6.3541594668062835,7.536765998398558e-21,6.354159467617645,7.536765941125932e-21
sub-002,A,P3,Fp1,0,40,80,5.736108218980173,2.352246561343679e-22,5.7361082197839774,2.352246539721127e-22
sub-002,A,P3,Fp1,0,50,100,4.58223912179583,3.5621283008423337e-19,4.582239121417134,3.562128318901892e-19
sub-002,A,P3,Fp1,1,5,10,31.856337519262155,1.2796641645653233e-28,31.85633751937984,1.279664164277089e-28
sub-002,A,P3,Fp1,1,10,20,22.43523043160277,2.2178177239772788e-35,22.43523043116323,2.2178177273260322e-35
sub-002,A,P3,Fp1,1,20,40,8.454298501123935,8.423142874114896e-22,8.454298501759784,8.423142837677539e-22
sub-002,A,P3,Fp1,1,30,60,5.805037646687093,1.3180732133017852e-18,5.805037645992954,1.3180732219377446e-18
